Source,Location ID,City,State,Country,Latitude,Longitude,Elevation,,,
TMY3,123456,Jinta,GS,China,40.06,98.675,1266,,,
Year,Month,Day,Hour,GHI,DNI ,DIF,AP,RH ,WS ,WD
2014,1,6,14,254,123.4,220.3,880.9,49.2,4.375,283.1
2014,1,6,15,188,92.9,174.8,880.4,47.2,5.35,287.1
2014,1,6,16,114.3,74.8,111.5,880.5,45.5,5.8,289.8
2014,1,6,17,54.5,72.6,53,880.6,45.3,5.275,288.8
2014,1,6,18,7.3,17.3,7,880.7,51.5,3.975,285.8
2014,1,6,19,0,0,0,881.1,56.2,3.2,286.5
2014,1,6,20,0,0,0,881.2,62.7,2.675,283.4
2014,1,6,21,0,0,0,881.2,65.7,2.3,272.9
2014,1,6,22,0,0,0,881.4,68.8,2.15,258.3
2014,1,6,23,0,0,0,881.2,70.4,2.2,246.5
2014,1,7,0,0,0,0,880.9,75.6,2.2,240.2
2014,1,7,1,0,0,0,880.6,79.2,2.125,235.3
2014,1,7,2,0,0,0,880.3,81,2,231.8
2014,1,7,3,0,0,0,880.1,81.4,1.825,233.2
2014,1,7,4,0,0,0,880.1,80.5,1.8,237
2014,1,7,5,0,0,0,879.8,77.9,1.9,240.5
2014,1,7,6,0,0,0,879.3,73.1,1.95,244.1
2014,1,7,7,0,0,0,879.5,72.9,1.825,256.6
2014,1,7,8,1.3,22.5,0.8,879.8,74.2,2,264.8
2014,1,7,9,53,239.1,25.5,880.3,73,2.125,263.8
2014,1,7,10,190.3,475.4,63,880.9,66.7,1.9,262
2014,1,7,11,317.5,552.8,90.3,881.3,61.7,1.85,269.2
2014,1,7,12,408.8,587.5,106.8,881.4,57.6,2.2,284.9
2014,1,7,13,482.5,652.9,113.3,880.8,49.1,2.775,300
2014,1,7,14,478.5,673.9,105,880.1,43.6,3.375,305.1
2014,1,7,15,406,644.1,96.5,880.3,39,3.775,307
2014,1,7,16,283.3,574.5,79.3,880.7,35.5,3.875,306.8
2014,1,7,17,130.3,412.6,48.5,881.3,35,3.5,305.3
2014,1,7,18,16.3,115,8.3,881.9,41.8,2.675,303.6
2014,1,7,19,0,0,0,882.7,45.8,2.5,298.5
2014,1,7,20,0,0,0,883.6,50.8,2.5,292
2014,1,7,21,0,0,0,884.3,54.5,2.5,285.5
2014,1,7,22,0,0,0,884.8,60.6,2.475,276.1
2014,1,7,23,0,0,0,885.5,64.2,2.325,267.5
2014,1,8,0,0,0,0,885.9,66.9,2.225,264
2014,1,8,1,0,0,0,886,69,2.1,262.8
2014,1,8,2,0,0,0,885.8,70.1,1.9,261.8
2014,1,8,3,0,0,0,886,71.2,1.625,258.9
2014,1,8,4,0,0,0,886.1,72.9,1.375,252.9
2014,1,8,5,0,0,0,886,72.3,1.15,241
2014,1,8,6,0,0,0,886,69.8,1.175,223.9
2014,1,8,7,0,0,0,886.1,71.5,0.925,211.1
2014,1,8,8,1.3,24.3,0.8,886.1,76.1,0.825,198.3
2014,1,8,9,53.3,288,19,886.5,76.3,1,200.8
2014,1,8,10,182.5,511.1,48.5,886.6,70.9,1.075,199.9
2014,1,8,11,304.8,542.1,84,886.6,63.5,0.9,184.3
2014,1,8,12,404,580.3,107.3,886.1,55.1,0.8,147.7
2014,1,8,13,420.5,472.9,167.5,885.5,47.8,0.75,118.7
2014,1,8,14,491.3,705.8,100.3,884.6,43.6,0.5,94.9
2014,1,8,15,423.5,733,65.8,884.2,41.1,0.325,50.2
2014,1,8,16,299.5,674.7,55.5,884.1,37.3,0.325,338.5
2014,1,8,17,142.3,526.5,36.5,884,35.9,0.525,290.7
2014,1,8,18,23.8,178.2,12,883.8,42.3,0.85,292.7
2014,1,8,19,0,0,0,884.2,47.3,1.35,296.5
2014,1,8,20,0,0,0,884.3,55.7,1.975,292
2014,1,8,21,0,0,0,884.5,57.9,2.375,281.6
2014,1,8,22,0,0,0,884.6,60,2.575,272
2014,1,8,23,0,0,0,884.5,61,2.7,265.7
2014,1,9,0,0,0,0,884.3,63.3,3,267.3
2014,1,9,1,0,0,0,884.3,65.4,3.325,273.1
2014,1,9,2,0,0,0,884.1,64.4,3.6,277.5
2014,1,9,3,0,0,0,884.1,63.7,3.7,276.5
2014,1,9,4,0,0,0,883.9,62.7,3.675,272
2014,1,9,5,0,0,0,883.8,58.3,3.575,267
2014,1,9,6,0,0,0,883.9,58.8,3.4,264.7
2014,1,9,7,0,0,0,883.8,60.1,3.25,271.7
2014,1,9,8,1.3,21.2,0.8,884,62.2,3.375,269.5
2014,1,9,9,48,201.8,26.3,884.3,58.4,3.375,265
2014,1,9,10,171.5,392.3,70.3,884.4,47.5,3.2,268.5
2014,1,9,11,288.5,472.2,98.5,884.5,44.6,3.175,275.8
2014,1,9,12,398.3,560.9,110.8,884.2,40.2,3.575,281.3
2014,1,9,13,469.5,649.5,101.5,883.4,34.6,3.8,283.3
2014,1,9,14,477.5,683.4,97.3,882.5,31.5,4,285.8
2014,1,9,15,416.3,675.6,87.8,881.9,29.7,4.1,286.3
2014,1,9,16,293.8,610.9,72.5,881.7,27.7,4,287
2014,1,9,17,139.5,457.3,47,881.8,27.2,3.35,286.1
2014,1,9,18,23.5,151.7,13.5,882,33.3,2.675,283.8
2014,1,9,19,0,0,0,882.1,37.4,2.725,283
2014,1,9,20,0,0,0,882.4,42,3.075,281.2
2014,1,9,21,0,0,0,882.3,42.7,3.35,280
2014,1,9,22,0,0,0,882.5,44.1,3.475,276.5
2014,1,9,23,0,0,0,882.5,44.6,3.475,269.3
2014,1,10,0,0,0,0,882.1,45,3.3,264.5
2014,1,10,1,0,0,0,881.7,46,3.125,264.2
2014,1,10,2,0,0,0,881.3,47.8,3.075,265
2014,1,10,3,0,0,0,881.2,50.9,2.975,265
2014,1,10,4,0,0,0,880.7,53.7,2.9,264.3
2014,1,10,5,0,0,0,880.3,52.8,2.8,262.8
2014,1,10,6,0,0,0,879.7,54.1,2.6,263.4
2014,1,10,7,0,0,0,879.6,56,2.525,271.7
2014,1,10,8,1.3,21.6,0.8,879.7,58.2,2.6,265
2014,1,10,9,51.8,213.5,27.8,880,56.8,2.5,257
2014,1,10,10,185.8,428.7,71.5,880.1,48.8,2.25,257
2014,1,10,11,317.8,526.9,99.8,880.1,41.8,2.125,264.2
2014,1,10,12,432.5,610,115.3,879.9,37.7,2.1,274.2
2014,1,10,13,492,652.4,120.5,879.1,30.9,2.125,286.1
2014,1,10,14,482.5,653.5,117.8,878.2,28.6,2.2,296.3
2014,1,10,15,411.8,622.5,108.5,877.5,27.2,2.125,300.7
2014,1,10,16,289.8,552.6,90,877.7,25,2,302.7
2014,1,10,17,137.5,398.1,56.8,877.9,24.5,1.775,300
2014,1,10,18,23.5,131.8,15,878,31.5,1.55,288
2014,1,10,19,0,0,0,878.6,33.8,1.65,285.2
2014,1,10,20,0,0,0,879,36.4,1.425,297
2014,1,10,21,0,0,0,879.3,37.6,0.8,312
2014,1,10,22,0,0,0,879.5,39.5,0.45,3.9
2014,1,10,23,0,0,0,880,39.1,0.625,41.4
2014,1,11,0,0,0,0,880.4,40.5,1,47.9
2014,1,11,1,0,0,0,881,46.4,1.325,52
2014,1,11,2,0,0,0,881.9,54.7,1.25,65.3
2014,1,11,3,0,0,0,882.7,59.3,1.1,84.3
2014,1,11,4,0,0,0,883.5,62.2,1.075,89.7
2014,1,11,5,0,0,0,883.8,64.6,0.85,88.4
2014,1,11,6,0,0,0,884,63.9,0.575,59
2014,1,11,7,0,0,0,884.8,66.9,0.725,13.7
2014,1,11,8,1.5,23.2,0.8,886,72.8,0.45,278.4
